experiment_num,scheduler_name,mode,n,duplicated_tasks,makespan
18,cpop,bottom-n,4,"7,3,5,2",8.21308784620415
18,cpop,bottom-n,5,"7,3,5,2,1",8.21308784620415
19,heft,top-n,0,,4.754137190786999
19,heft,top-n,1,0,4.164390297607641
19,heft,top-n,2,"0,2",4.754137190786999
19,heft,top-n,3,"0,2,3",4.754137190786999
19,heft,top-n,4,"0,2,3,1",4.445232164636874
19,heft,top-n,5,"0,2,3,1,4",4.445232164636874
19,heft,bottom-n,0,,4.754137190786999
19,heft,bottom-n,1,7,5.21534292786421
19,heft,bottom-n,2,"7,5",5.425218997145153
19,heft,bottom-n,3,"7,5,6",5.7149584224941625
19,heft,bottom-n,4,"7,5,6,4",5.7149584224941625
19,heft,bottom-n,5,"7,5,6,4,1",5.925316067618711
19,cpop,top-n,0,,4.369750097131664
19,cpop,top-n,1,0,4.369750097131664
19,cpop,top-n,2,"0,2",4.581978228730316
19,cpop,top-n,3,"0,2,3",4.581978228730316
19,cpop,top-n,4,"0,2,3,1",4.581978228730316
19,cpop,top-n,5,"0,2,3,1,4",4.581978228730316
19,cpop,bottom-n,0,,4.369750097131664
19,cpop,bottom-n,1,7,4.930188228419001
19,cpop,bottom-n,2,"7,5",5.171278038210861
19,cpop,bottom-n,3,"7,5,6",6.80767795115562
19,cpop,bottom-n,4,"7,5,6,4",6.80767795115562
19,cpop,bottom-n,5,"7,5,6,4,1",6.80767795115562
20,heft,top-n,0,,5.031450732860065
20,heft,top-n,1,0,4.55532474358001
20,heft,top-n,2,"0,3",4.566663503783349
20,heft,top-n,3,"0,3,2",5.031450732860065
20,heft,top-n,4,"0,3,2,1",4.993271197333804
20,heft,top-n,5,"0,3,2,1,6",4.993271197333804
20,heft,bottom-n,0,,5.031450732860065
20,heft,bottom-n,1,7,5.541902777009384
20,heft,bottom-n,2,"7,5",5.541902777009384
20,heft,bottom-n,3,"7,5,4",5.541902777009384
20,heft,bottom-n,4,"7,5,4,6",5.148712823024947
20,heft,bottom-n,5,"7,5,4,6,1",5.148712823024947
20,cpop,top-n,0,,4.55532474358001
20,cpop,top-n,1,0,4.55532474358001
20,cpop,top-n,2,"0,3",4.55532474358001
20,cpop,top-n,3,"0,3,2",4.800070160947122
20,cpop,top-n,4,"0,3,2,1",4.800070160947122
20,cpop,top-n,5,"0,3,2,1,6",5.249195203053381
20,cpop,bottom-n,0,,4.55532474358001
20,cpop,bottom-n,1,7,5.501675040756591
20,cpop,bottom-n,2,"7,5",5.7675835538577065
20,cpop,bottom-n,3,"7,5,4",5.7675835538577065
20,cpop,bottom-n,4,"7,5,4,6",5.7675835538577065
20,cpop,bottom-n,5,"7,5,4,6,1",5.7675835538577065
21,heft,top-n,0,,4.29869227344541
21,heft,top-n,1,0,4.852562664352686
21,heft,top-n,2,"0,5",4.852562664352686
21,heft,top-n,3,"0,5,3",4.852562664352686
21,heft,top-n,4,"0,5,3,6",4.48858391379414
21,heft,top-n,5,"0,5,3,6,1",4.624841457465976
21,heft,bottom-n,0,,4.29869227344541
21,heft,bottom-n,1,7,5.335866726922935
21,heft,bottom-n,2,"7,4",5.017111782354599
21,heft,bottom-n,3,"7,4,2",5.002204876935927
21,heft,bottom-n,4,"7,4,2,1",5.335866726922935
21,heft,bottom-n,5,"7,4,2,1,6",5.342704960984067
21,cpop,top-n,0,,5.366389974351881
21,cpop,top-n,1,0,5.366389974351881
21,cpop,top-n,2,"0,5",5.366389974351881
21,cpop,top-n,3,"0,5,3",4.604263767549383
